Time (s),HRRPUA (kW/m2),THRPUA (MJ/m2),HT Comb (MJ/kg),MLR (g/s),Air/Sample (kg/kg),CO2 (kg/kg),CO (kg/kg)
0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2.5,0.01,0.0,0.0,0.0,0.0,0.0
6.0,-0.7,0.01,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
12.0,1.8,0.02,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
21.0,-2.2,0.02,0.0,0.0,0.0,0.0,0.0
24.0,2.2,0.02,0.0,0.0,0.0,0.0,0.0
27.0,2.5,0.03,0.0,0.0,0.0,0.0,0.0
30.0,2.2,0.04,0.0,0.0,0.0,0.0,0.0
33.0,-1.1,0.04,0.0,0.0,0.0,0.0,0.0
36.0,0.7,0.04,0.0,0.0,0.0,0.0,0.0
39.0,4.3,0.05,0.0,0.0,0.0,0.0,0.0
42.0,-1.1,0.05,0.0,0.0,0.0,0.0,0.0
45.0,3.6,0.06,0.0,0.087,1067.7,0.8,0.062
48.0,0.7,0.07,0.52,0.08,1160.7,0.91,0.064
51.0,0.7,0.07,1.14,0.076,1223.0,0.95,0.08
54.0,4.0,0.08,1.94,0.073,1254.0,1.0,0.077
57.0,4.0,0.09,2.99,0.072,1298.3,1.04,0.084
60.0,2.5,0.1,4.33,0.074,1255.7,1.05,0.104
63.0,2.9,0.11,5.98,0.077,1197.0,1.87,0.082
66.0,6.8,0.13,7.9,0.078,1173.6,3.71,0.08
69.0,45.2,0.26,10.0,0.078,1144.2,4.88,0.077
72.0,110.3,0.6,12.16,0.076,1147.0,5.5,0.077
75.0,149.5,1.04,14.24,0.074,1184.5,5.97,0.085
78.0,163.8,1.54,16.09,0.07,1244.2,6.3,0.078
81.0,163.9,2.03,17.62,0.068,1272.4,6.31,0.084
84.0,158.5,2.5,18.76,0.067,1303.9,6.32,0.098
87.0,151.5,2.96,19.47,0.065,1332.1,6.33,0.098
90.0,142.7,3.39,19.81,0.066,1334.3,6.15,0.098
93.0,137.1,3.8,19.82,0.066,1314.5,5.91,0.078
96.0,132.8,4.2,19.61,0.067,1314.9,5.8,0.08
99.0,127.3,4.58,19.24,0.067,1306.1,5.6,0.101
102.0,120.3,4.94,18.81,0.067,1311.6,5.4,0.082
105.0,116.3,5.29,18.38,0.066,1341.9,5.36,0.095
108.0,107.8,5.61,17.97,0.064,1372.3,5.33,0.067
111.0,105.0,5.93,17.62,0.062,1424.4,5.36,0.108
114.0,99.3,6.22,17.33,0.06,1481.1,5.38,0.104
117.0,92.9,6.5,17.1,0.056,1572.1,5.57,0.09
120.0,90.6,6.77,16.9,0.053,1677.0,5.82,0.099
123.0,86.9,7.03,16.74,0.05,1754.1,5.99,0.126
126.0,83.1,7.28,16.6,0.049,1797.7,6.05,0.108
129.0,82.0,7.53,16.47,0.05,1797.3,5.99,0.106
132.0,84.2,7.78,16.37,0.05,1771.5,5.79,0.095
135.0,81.0,8.02,16.28,0.051,1744.5,5.57,0.1
138.0,78.1,8.26,16.21,0.051,1740.6,5.48,0.102
141.0,75.7,8.49,16.17,0.05,1784.8,5.57,0.112
144.0,75.1,8.71,16.14,0.048,1832.7,5.65,0.115
147.0,75.1,8.94,16.13,0.045,1963.3,5.97,0.103
150.0,73.1,9.16,16.13,0.044,2053.4,6.15,0.112
153.0,71.5,9.37,16.12,0.042,2102.3,6.24,0.122
156.0,69.4,9.58,16.09,0.042,2110.5,6.23,0.112
159.0,68.3,9.78,16.06,0.043,2104.6,6.16,0.117
162.0,69.5,9.99,16.01,0.043,2070.4,5.98,0.148
165.0,68.1,10.2,15.95,0.043,2064.8,5.91,0.12
168.0,66.1,10.4,15.89,0.043,2095.3,5.94,0.127
171.0,67.1,10.6,15.83,0.042,2158.2,6.08,0.135
174.0,62.8,10.78,15.79,0.041,2163.1,6.02,0.123
177.0,64.4,10.98,15.77,0.041,2184.4,6.04,0.144
180.0,63.2,11.17,15.77,0.04,2211.4,6.09,0.13
183.0,64.6,11.36,15.8,0.04,2229.7,6.05,0.121
186.0,60.7,11.54,15.86,0.04,2216.3,5.98,0.156
189.0,60.6,11.73,15.94,0.04,2211.9,5.99,0.152
192.0,62.7,11.91,16.04,0.039,2269.2,6.18,0.147
