Time (s),HRRPUA (kW/m2),THRPUA (MJ/m2),HT Comb (MJ/kg),MLR (g/s),Air/Sample (kg/kg),CO2 (kg/kg),CO (kg/kg)
0.0,-1.2,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,5.5,0.02,0.0,0.079,364.2,1.01,0.013
21.0,32.8,0.12,4.08,0.077,371.3,1.7,0.016
24.0,92.9,0.4,7.97,0.077,367.4,2.1,0.024
27.0,150.0,0.85,11.47,0.078,355.3,2.23,0.02
30.0,176.6,1.38,14.46,0.077,345.8,2.23,0.019
33.0,183.2,1.93,16.85,0.076,346.7,2.22,0.017
36.0,180.7,2.47,18.61,0.075,351.5,2.26,0.018
39.0,173.8,2.99,19.78,0.075,352.8,2.31,0.017
42.0,170.9,3.5,20.39,0.074,361.2,2.36,0.016
45.0,176.8,4.03,20.56,0.074,361.5,2.27,0.018
48.0,168.8,4.54,20.36,0.074,354.1,2.09,0.014
51.0,155.4,5.01,19.9,0.073,362.8,2.01,0.012
54.0,140.1,5.43,19.29,0.073,365.6,1.92,0.012
57.0,126.0,5.8,18.59,0.072,366.9,1.82,0.013
60.0,118.6,6.16,17.89,0.071,375.4,1.8,0.01
63.0,111.0,6.49,17.23,0.071,382.5,1.8,0.016
66.0,107.6,6.82,16.65,0.07,384.0,1.76,0.01
69.0,106.7,7.14,16.15,0.069,395.3,1.77,0.012
72.0,103.8,7.45,15.75,0.068,397.9,1.75,0.012
75.0,102.3,7.76,15.44,0.068,398.5,1.73,0.009
78.0,98.6,8.05,15.2,0.068,400.1,1.73,0.011
81.0,100.3,8.35,15.02,0.067,405.9,1.73,0.007
84.0,99.3,8.65,14.89,0.066,411.8,1.72,0.008
87.0,97.9,8.94,14.79,0.066,413.8,1.69,0.011
90.0,93.3,9.22,14.72,0.065,415.7,1.65,0.01
93.0,89.7,9.49,14.67,0.065,423.1,1.72,0.009
96.0,92.5,9.77,14.63,0.064,428.8,1.73,0.01
99.0,97.7,10.06,14.6,0.063,437.1,1.73,0.014
102.0,90.7,10.34,14.58,0.062,436.8,1.7,0.008
105.0,89.2,10.6,14.58,0.061,445.5,1.71,0.006
108.0,86.7,10.86,14.58,0.061,449.6,1.71,0.009
111.0,85.6,11.12,14.59,0.06,455.9,1.72,0.009
114.0,84.9,11.37,14.62,0.059,459.1,1.73,0.008
117.0,85.9,11.63,14.66,0.058,469.2,1.73,0.012
120.0,83.9,11.88,14.71,0.057,477.4,1.75,0.005
123.0,82.3,12.13,14.78,0.057,480.5,1.74,0.008
126.0,83.6,12.38,14.85,0.056,496.8,1.8,0.011
129.0,79.8,12.62,14.93,0.054,502.0,1.8,0.01
132.0,80.8,12.86,15.0,0.054,509.8,1.81,0.014
135.0,80.5,13.1,15.06,0.053,516.5,1.84,0.012
138.0,80.6,13.35,15.11,0.052,527.7,1.87,0.009
141.0,78.6,13.58,15.15,0.052,526.0,1.86,0.0
144.0,79.4,13.82,15.17,0.052,529.2,1.88,0.008
147.0,79.9,14.06,15.16,0.052,529.3,1.87,0.011
150.0,79.8,14.3,15.14,0.052,525.0,1.83,0.013
153.0,78.6,14.54,15.1,0.052,528.0,1.84,0.016
156.0,77.8,14.77,15.05,0.051,533.9,1.83,0.011
159.0,76.5,15.0,15.0,0.051,536.9,1.83,0.01
162.0,74.0,15.22,14.94,0.051,537.8,1.81,0.006
165.0,74.8,15.44,14.89,0.05,543.5,1.83,0.015
168.0,74.1,15.67,14.85,0.05,542.0,1.82,0.017
171.0,72.9,15.89,14.82,0.05,544.6,1.83,0.016
174.0,75.1,16.11,14.81,0.05,550.0,1.82,0.011
177.0,75.8,16.33,14.81,0.05,545.1,1.8,0.013
180.0,72.7,16.55,14.82,0.05,546.7,1.8,0.017
183.0,74.0,16.77,14.85,0.05,554.0,1.84,0.008
186.0,73.8,16.99,14.88,0.05,550.2,1.83,0.012
189.0,73.3,17.21,14.92,0.05,547.0,1.83,0.008
192.0,73.1,17.43,14.96,0.049,555.9,1.87,0.012
195.0,74.7,17.66,14.99,0.049,565.5,1.91,0.014
198.0,74.0,17.88,15.01,0.049,558.6,1.88,0.009
201.0,74.3,18.1,15.01,0.049,562.4,1.86,0.008
204.0,75.7,18.33,15.0,0.049,564.0,1.87,0.015
207.0,74.0,18.55,14.96,0.049,559.4,1.86,0.016
210.0,72.6,18.77,14.91,0.049,558.3,1.86,0.017
213.0,73.9,18.99,14.84,0.049,557.4,1.85,0.009
216.0,73.9,19.21,14.77,0.05,547.2,1.81,0.009
219.0,74.8,19.44,14.69,0.051,541.3,1.8,0.014
222.0,74.9,19.66,14.62,0.051,542.0,1.8,0.017
225.0,74.1,19.88,14.56,0.051,534.3,1.76,0.008
228.0,73.4,20.1,14.52,0.052,529.0,1.75,0.01
231.0,73.4,20.32,14.49,0.052,527.7,1.76,0.017
234.0,73.6,20.55,14.49,0.052,525.4,1.76,0.015
237.0,75.8,20.77,14.5,0.052,526.5,1.77,0.014
240.0,74.4,21.0,14.53,0.052,531.2,1.8,0.015
243.0,73.5,21.22,14.57,0.051,533.4,1.8,0.009
246.0,75.1,21.44,14.61,0.051,538.0,1.8,0.013
249.0,75.6,21.67,14.64,0.05,546.0,1.81,0.007
252.0,74.4,21.89,14.66,0.051,542.2,1.81,0.013
255.0,73.8,22.11,14.67,0.05,545.4,1.83,0.015
258.0,77.3,22.35,14.67,0.051,542.2,1.81,0.012
261.0,73.6,22.57,14.66,0.051,537.6,1.77,0.017
264.0,74.0,22.79,14.64,0.051,538.4,1.8,0.009
267.0,74.0,23.01,14.62,0.051,535.8,1.78,0.016
270.0,75.1,23.24,14.6,0.051,537.5,1.78,0.016
273.0,73.8,23.46,14.6,0.052,529.7,1.75,0.01
276.0,73.7,23.68,14.6,0.052,529.8,1.77,0.017
279.0,75.8,23.9,14.62,0.052,536.1,1.79,0.012
282.0,75.1,24.13,14.65,0.051,534.9,1.78,0.011
285.0,75.0,24.36,14.68,0.051,536.9,1.78,0.018
288.0,73.6,24.58,14.71,0.051,541.3,1.8,0.019
291.0,73.8,24.8,14.74,0.051,539.3,1.81,0.013
294.0,75.7,25.02,14.76,0.051,544.8,1.85,0.02
297.0,76.7,25.25,14.76,0.05,546.8,1.87,0.011
300.0,77.6,25.49,14.75,0.051,542.0,1.85,0.016
303.0,76.4,25.72,14.71,0.051,537.2,1.83,0.015
306.0,74.9,25.94,14.66,0.052,525.3,1.78,0.013
309.0,76.7,26.17,14.6,0.052,524.9,1.78,0.009
312.0,76.6,26.4,14.53,0.052,522.8,1.76,0.014
315.0,74.6,26.62,14.46,0.053,518.0,1.75,0.011
318.0,75.3,26.85,14.4,0.053,516.9,1.75,0.017
321.0,75.5,27.08,14.34,0.053,514.0,1.72,0.014
324.0,74.7,27.3,14.29,0.053,519.4,1.75,0.018
327.0,73.4,27.52,14.23,0.053,517.1,1.77,0.018
330.0,76.4,27.75,14.18,0.053,518.7,1.79,0.014
333.0,78.3,27.99,14.13,0.053,516.9,1.76,0.012
336.0,76.5,28.22,14.07,0.053,509.6,1.73,0.017
339.0,74.2,28.44,14.01,0.054,501.1,1.7,0.016
342.0,75.7,28.66,13.94,0.055,490.5,1.68,0.015
345.0,78.1,28.9,13.88,0.056,493.0,1.69,0.017
348.0,78.0,29.13,13.83,0.056,485.3,1.67,0.016
351.0,77.8,29.37,13.78,0.057,480.6,1.65,0.014
354.0,79.5,29.61,13.76,0.058,476.2,1.63,0.015
357.0,77.8,29.84,13.75,0.058,470.4,1.62,0.013
360.0,76.2,30.07,13.75,0.058,470.2,1.62,0.011
363.0,79.8,30.31,13.77,0.058,475.0,1.65,0.014
366.0,79.1,30.54,13.79,0.057,478.3,1.67,0.012
369.0,79.2,30.78,13.82,0.057,482.4,1.69,0.009
372.0,78.7,31.02,13.84,0.056,486.6,1.71,0.013
375.0,81.7,31.26,13.86,0.057,477.6,1.69,0.013
378.0,81.3,31.51,13.86,0.057,477.5,1.68,0.01
381.0,81.8,31.75,13.86,0.058,469.7,1.64,0.013
384.0,79.6,31.99,13.85,0.058,467.2,1.65,0.01
387.0,79.4,32.23,13.85,0.059,464.4,1.65,0.017
390.0,81.3,32.47,13.86,0.059,456.1,1.63,0.011
393.0,81.8,32.72,13.88,0.06,457.8,1.65,0.012
396.0,81.6,32.96,13.91,0.06,454.5,1.64,0.012
399.0,83.1,33.21,13.96,0.061,447.7,1.65,0.013
402.0,84.5,33.47,14.02,0.061,452.2,1.68,0.007
405.0,87.1,33.73,14.08,0.061,452.2,1.68,0.004
408.0,86.2,33.99,14.14,0.06,455.7,1.69,0.011
411.0,85.8,34.24,14.2,0.059,456.9,1.69,0.008
414.0,85.0,34.5,14.25,0.059,458.1,1.69,0.013
417.0,85.9,34.76,14.29,0.06,457.5,1.68,0.012
420.0,85.8,35.01,14.32,0.06,452.5,1.66,0.008
423.0,84.5,35.27,14.35,0.06,454.9,1.69,0.01
426.0,85.9,35.52,14.38,0.06,452.7,1.69,0.011
429.0,88.1,35.79,14.4,0.061,445.4,1.69,0.012
432.0,89.9,36.06,14.42,0.061,448.2,1.72,0.009
435.0,90.1,36.33,14.44,0.061,442.0,1.69,0.01
438.0,89.8,36.6,14.46,0.062,437.8,1.65,0.01
441.0,88.7,36.86,14.48,0.062,437.9,1.66,0.008
444.0,87.6,37.13,14.49,0.062,436.1,1.68,0.01
447.0,89.3,37.39,14.5,0.061,444.5,1.72,0.008
450.0,92.7,37.67,14.5,0.062,440.5,1.71,0.013
453.0,89.9,37.94,14.48,0.062,435.9,1.69,0.007
456.0,91.7,38.22,14.46,0.062,437.1,1.69,0.008
459.0,91.4,38.49,14.42,0.062,433.8,1.69,0.007
462.0,90.4,38.76,14.37,0.063,428.9,1.68,0.009
465.0,93.8,39.04,14.31,0.064,427.3,1.67,0.011
468.0,91.0,39.32,14.24,0.065,419.1,1.65,0.008
471.0,91.3,39.59,14.17,0.065,417.7,1.65,0.012
474.0,92.8,39.87,14.11,0.065,418.0,1.64,0.008
477.0,92.7,40.15,14.05,0.067,405.4,1.59,0.012
480.0,93.1,40.43,14.01,0.068,403.9,1.58,0.008
483.0,92.1,40.7,13.99,0.068,398.7,1.58,0.006
486.0,92.6,40.98,13.99,0.068,396.6,1.59,0.014
489.0,95.6,41.27,14.01,0.068,400.7,1.59,0.005
492.0,94.4,41.55,14.04,0.068,401.1,1.62,0.006
495.0,92.4,41.83,14.08,0.067,403.4,1.64,0.012
498.0,95.7,42.12,14.12,0.067,407.9,1.65,0.004
501.0,98.1,42.41,14.15,0.067,402.9,1.63,0.006
504.0,96.1,42.7,14.18,0.067,399.8,1.63,0.007
507.0,95.6,42.98,14.19,0.067,403.3,1.66,0.007
510.0,96.8,43.28,14.19,0.067,400.0,1.66,0.009
513.0,97.6,43.57,14.18,0.069,394.2,1.64,0.007
516.0,98.9,43.86,14.17,0.069,392.2,1.62,0.009
519.0,96.7,44.15,14.14,0.07,386.3,1.61,0.008
522.0,98.3,44.45,14.11,0.07,385.1,1.61,0.006
525.0,99.5,44.75,14.08,0.07,382.7,1.61,0.0
528.0,100.3,45.05,14.05,0.071,382.0,1.6,0.01
531.0,100.9,45.35,14.02,0.071,383.8,1.61,0.009
534.0,98.2,45.65,13.99,0.072,375.8,1.59,0.005
537.0,100.7,45.95,13.96,0.072,375.8,1.6,0.009
540.0,101.0,46.25,13.93,0.073,372.7,1.6,0.009
543.0,101.7,46.56,13.9,0.074,366.3,1.57,0.006
546.0,102.6,46.86,13.88,0.074,366.9,1.58,0.009
549.0,102.5,47.17,13.87,0.074,364.1,1.58,0.007
552.0,104.3,47.49,13.85,0.075,361.4,1.58,0.005
555.0,103.5,47.8,13.84,0.075,358.6,1.56,0.007
558.0,104.5,48.11,13.83,0.076,356.3,1.55,0.004
561.0,106.3,48.43,13.83,0.076,355.2,1.56,0.007
564.0,104.3,48.74,13.82,0.076,352.0,1.56,0.004
567.0,106.3,49.06,13.82,0.077,350.5,1.58,0.008
570.0,106.8,49.38,13.81,0.077,348.3,1.57,0.0
573.0,107.9,49.7,13.8,0.078,339.5,1.53,0.008
576.0,110.0,50.03,13.78,0.079,339.8,1.55,0.006
579.0,109.0,50.36,13.75,0.079,337.0,1.54,0.006
582.0,112.6,50.7,13.72,0.08,335.3,1.54,0.004
585.0,109.7,51.03,13.68,0.081,329.6,1.52,0.005
588.0,112.3,51.36,13.63,0.082,328.7,1.52,0.006
591.0,111.1,51.7,13.58,0.082,323.7,1.51,0.008
594.0,113.7,52.04,13.54,0.083,322.3,1.49,0.005
597.0,114.1,52.38,13.49,0.084,319.6,1.48,0.006
600.0,112.0,52.72,13.46,0.086,311.9,1.47,0.009
603.0,113.0,53.06,13.44,0.087,308.9,1.45,0.009
606.0,116.3,53.41,13.44,0.088,305.1,1.46,0.005
609.0,117.9,53.76,13.44,0.089,299.9,1.46,0.006
612.0,121.6,54.12,13.46,0.09,302.2,1.49,0.007
615.0,122.8,54.49,13.49,0.09,297.2,1.45,0.007
618.0,123.4,54.86,13.52,0.09,297.7,1.45,0.005
621.0,121.5,55.23,13.55,0.09,297.2,1.47,0.005
624.0,121.0,55.59,13.59,0.091,296.8,1.49,0.006
627.0,126.5,55.97,13.63,0.091,298.1,1.49,0.008
630.0,124.4,56.34,13.67,0.091,293.1,1.46,0.006
633.0,123.9,56.71,13.72,0.092,291.0,1.45,0.005
636.0,123.2,57.08,13.78,0.092,289.1,1.47,0.005
639.0,126.1,57.46,13.84,0.092,289.0,1.49,0.006
642.0,129.0,57.85,13.9,0.092,289.8,1.5,0.005
645.0,129.9,58.24,13.96,0.092,289.1,1.5,0.006
648.0,130.6,58.63,14.02,0.092,290.3,1.51,0.005
651.0,130.9,59.02,14.06,0.091,292.7,1.52,0.006
654.0,130.6,59.42,14.1,0.091,291.8,1.52,0.006
657.0,132.1,59.81,14.12,0.093,289.1,1.51,0.005
660.0,131.2,60.21,14.14,0.093,285.5,1.5,0.004
663.0,131.8,60.6,14.15,0.093,285.6,1.51,0.006
666.0,134.6,61.01,14.17,0.094,283.4,1.48,0.006
669.0,131.4,61.4,14.19,0.095,279.5,1.47,0.008
672.0,128.9,61.79,14.22,0.095,280.4,1.5,0.009
675.0,135.3,62.19,14.26,0.095,284.9,1.53,0.005
678.0,136.2,62.6,14.32,0.094,281.0,1.51,0.007
681.0,136.5,63.01,14.39,0.095,279.7,1.5,0.006
684.0,135.5,63.42,14.47,0.094,280.1,1.5,0.007
687.0,135.4,63.82,14.58,0.094,282.0,1.52,0.007
690.0,134.8,64.23,14.7,0.094,282.7,1.53,0.007
693.0,138.7,64.64,14.83,0.095,286.4,1.53,0.006
696.0,134.6,65.05,14.98,0.093,285.0,1.54,0.009
699.0,133.3,65.45,15.14,0.091,291.7,1.61,0.006
702.0,140.2,65.87,15.31,0.091,294.3,1.64,0.005
705.0,141.8,66.29,15.47,0.09,292.3,1.63,0.006
708.0,143.4,66.72,15.63,0.09,295.7,1.65,0.005
711.0,141.4,67.15,15.76,0.089,297.4,1.66,0.008
714.0,143.0,67.58,15.87,0.088,301.2,1.67,0.005
717.0,142.1,68.0,15.95,0.087,304.3,1.68,0.006
720.0,140.7,68.43,16.0,0.086,307.9,1.68,0.008
