Time (s),HRRPUA (kW/m2),THRPUA (MJ/m2),HT Comb (MJ/kg)
0.0,0.0,0.0,0.0
3.0,-1.4253,0.0,0.0
6.0,0.9409,0.0028,0.0
9.0,-2.107,0.0028,0.0
12.0,-1.8508,0.0028,0.0
15.0,3.3329,0.0128,0.0
18.0,0.4715,0.0142,0.0
21.0,0.1977,0.0148,0.0
24.0,-1.9008,0.0148,0.0
27.0,-0.691,0.0148,0.0
30.0,1.6697,0.0198,0.0
33.0,-0.9314,0.0198,0.0
36.0,-0.7016,0.0198,0.0
39.0,0.0175,0.0199,0.0
42.0,-0.218,0.0199,0.0
45.0,-1.6234,0.0199,0.0
48.0,0.9673,0.0228,0.0
51.0,0.0184,0.0228,0.0
54.0,0.0006,0.0228,0.0
57.0,-0.4682,0.0228,0.0
60.0,-0.2275,0.0228,0.0
63.0,-2.5557,0.0228,0.0
66.0,1.9128,0.0286,0.0
69.0,2.1257,0.035,0.0
72.0,-1.2048,0.035,0.0
75.0,-1.8948,0.035,0.0
78.0,-1.3759,0.035,0.0
81.0,0.2848,0.0358,0.0
84.0,0.0361,0.0359,0.0
87.0,-0.6876,0.0359,0.0
90.0,-0.9169,0.0359,0.0
93.0,1.1968,0.0395,0.0
96.0,-0.6923,0.0395,0.0
99.0,-0.6988,0.0395,0.0
102.0,-0.45,0.0395,0.0
105.0,-2.3245,0.0395,0.0
108.0,0.0481,0.0397,0.0
111.0,-0.6567,0.0397,0.0
114.0,-0.2005,0.0397,0.0
117.0,0.027,0.0397,0.0
120.0,-1.625,0.0397,0.0
123.0,0.0307,0.0398,0.0
126.0,-2.3153,0.0398,0.0
129.0,2.3845,0.047,0.0
132.0,0.4833,0.0484,0.0
135.0,-2.8274,0.0484,0.0
138.0,-1.1468,0.0484,0.0
141.0,-0.1794,0.0484,0.0
144.0,2.1474,0.0549,0.0
147.0,-1.1732,0.0549,0.0
150.0,-0.7076,0.0549,0.0
153.0,-0.919,0.0549,0.0
156.0,3.0624,0.0641,0.0
159.0,-0.2516,0.0641,0.0
162.0,-3.7735,0.0641,0.0
165.0,2.1367,0.0705,0.0
168.0,-0.6748,0.0705,0.0
171.0,1.1688,0.074,0.0
174.0,-1.412,0.074,0.0
177.0,-0.9305,0.074,0.0
180.0,-0.2052,0.074,0.0
183.0,0.9592,0.0769,0.0
186.0,0.2367,0.0776,0.0
189.0,0.2225,0.0782,0.0838
192.0,2.0866,0.0845,0.3644
195.0,8.0407,0.1086,1.1367
198.0,52.9854,0.2676,4.9894
201.0,157.1205,0.7389,13.7194
204.0,254.1728,1.5015,22.7193
207.0,306.0323,2.4196,27.2528
210.0,322.6678,3.3876,27.7549
213.0,332.0105,4.3836,26.8376
216.0,340.3318,5.4046,26.0531
219.0,344.7998,6.439,25.4419
222.0,348.5822,7.4847,24.9344
225.0,352.7209,8.5429,24.618
228.0,353.7512,9.6041,24.359
231.0,359.8064,10.6836,24.2884
234.0,361.5103,11.7681,24.3416
237.0,362.2774,12.8549,24.3032
240.0,364.9262,13.9497,24.3669
243.0,362.3718,15.0368,24.3662
246.0,361.6847,16.1219,24.2704
249.0,364.0797,17.2141,24.3229
252.0,362.302,18.301,24.2903
255.0,365.6667,19.398,24.2215
258.0,368.4926,20.5035,24.2336
261.0,364.635,21.5974,23.9536
264.0,366.5693,22.6971,23.6279
267.0,370.8381,23.8096,23.5883
270.0,367.9661,24.9135,23.4584
273.0,363.8755,26.0052,23.16
276.0,361.0408,27.0883,22.9728
279.0,360.0551,28.1684,22.9869
282.0,371.4068,29.2827,23.5346
285.0,377.2034,30.4143,24.3478
288.0,372.4301,31.5316,24.6274
291.0,375.2476,32.6573,24.7383
294.0,375.3189,33.7833,24.8955
297.0,372.3706,34.9004,24.7286
300.0,373.4958,36.0209,24.4732
303.0,374.6755,37.1449,24.2617
306.0,379.66,38.2839,24.1258
309.0,382.2458,39.4306,24.0275
312.0,389.0192,40.5977,24.0127
315.0,386.3875,41.7568,23.8855
318.0,384.7466,42.9111,23.5576
321.0,392.7321,44.0893,23.6018
324.0,396.1514,45.2777,23.826
327.0,395.8565,46.4653,23.8058
330.0,398.3566,47.6604,23.7473
333.0,408.5564,48.886,23.9814
336.0,417.3597,50.1381,24.3801
339.0,421.1496,51.4016,24.5784
342.0,424.7522,52.6758,24.6346
345.0,420.7086,53.938,24.4964
348.0,423.0702,55.2072,24.3755
351.0,420.2488,56.4679,24.3552
354.0,414.3032,57.7108,24.1642
357.0,406.5813,58.9306,23.8947
360.0,404.9643,60.1455,23.8011
363.0,408.2791,61.3703,24.0646
366.0,409.7061,62.5994,24.4291
369.0,416.9845,63.8504,24.8932
372.0,417.3894,65.1025,25.2742
375.0,416.1124,66.3509,25.311
378.0,416.0193,67.5989,25.2276
381.0,415.3262,68.8449,25.0549
384.0,413.5306,70.0855,24.741
387.0,410.726,71.3177,24.308
390.0,408.0982,72.542,23.8375
393.0,406.0428,73.7601,23.4186
396.0,402.5313,74.9677,23.0407
399.0,414.9679,76.2126,23.1666
402.0,420.7091,77.4747,23.6613
405.0,419.3241,78.7327,23.8806
408.0,412.0842,79.969,23.8391
411.0,411.9665,81.2049,23.9203
414.0,420.4975,82.4663,24.5228
417.0,424.0458,83.7385,25.2683
420.0,424.2223,85.0111,25.7535
423.0,420.6462,86.2731,25.96
426.0,416.7369,87.5233,25.9365
429.0,410.317,88.7543,25.6972
432.0,402.1321,89.9606,25.1978
435.0,395.1177,91.146,24.5769
438.0,399.6326,92.3449,24.2826
441.0,400.3318,93.5459,24.2022
444.0,399.6625,94.7449,23.9918
447.0,392.4641,95.9223,23.6181
450.0,393.354,97.1023,23.3951
453.0,390.025,98.2724,23.4042
456.0,386.2875,99.4313,23.3869
459.0,392.0928,100.6076,23.735
462.0,394.7978,101.7919,24.3352
465.0,394.4847,102.9754,24.7466
468.0,394.0199,104.1575,24.9911
471.0,391.4606,105.3318,25.0363
474.0,393.4589,106.5122,24.9928
477.0,393.1951,107.6918,24.8452
480.0,393.1864,108.8714,24.4795
483.0,395.6353,110.0583,24.0908
486.0,395.9445,111.2461,23.6639
489.0,399.05,112.4433,23.2697
492.0,407.4849,113.6657,23.1752
495.0,424.0286,114.9378,23.562
498.0,437.4803,116.2502,24.2151
501.0,438.235,117.5649,24.5755
504.0,427.1057,118.8463,24.4038
507.0,423.5378,120.1169,24.2472
510.0,426.0709,121.3951,24.5865
513.0,425.5463,122.6717,25.0819
516.0,421.8813,123.9374,25.404
519.0,417.1121,125.1887,25.5383
522.0,416.2758,126.4375,25.6378
525.0,405.5347,127.6541,25.3908
528.0,402.7894,128.8625,24.9101
531.0,404.9349,130.0773,24.6716
534.0,403.704,131.2884,24.3656
537.0,403.8838,132.5001,23.9452
540.0,405.5197,133.7166,23.6145
543.0,406.5524,134.9363,23.3638
546.0,407.5563,136.159,23.1878
549.0,409.8467,137.3885,23.1616
552.0,414.6336,138.6324,23.3616
555.0,418.4715,139.8878,23.7153
558.0,417.5223,141.1404,23.9922
561.0,421.7062,142.4055,24.3289
564.0,420.586,143.6673,24.6678
567.0,415.8854,144.9149,24.7079
570.0,418.0615,146.1691,24.7707
573.0,416.0961,147.4174,24.8223
576.0,416.684,148.6674,24.7356
579.0,417.6001,149.9202,24.6643
582.0,417.9729,151.1742,24.5518
585.0,407.4007,152.3964,24.1107
588.0,410.5054,153.6279,23.7985
591.0,416.9218,154.8786,24.0566
594.0,420.2052,156.1393,24.4117
597.0,410.5424,157.3709,24.3871
600.0,413.1168,158.6102,24.4062
603.0,409.9199,159.84,24.644
606.0,408.6628,161.066,24.745
609.0,408.382,162.2911,24.8598
612.0,408.4194,163.5164,24.8982
615.0,408.7453,164.7426,24.8184
618.0,414.3771,165.9857,24.7772
621.0,418.7097,167.2419,24.755
624.0,419.4802,168.5003,24.5378
627.0,417.2412,169.752,24.1405
630.0,416.4703,171.0015,23.7673
633.0,414.8845,172.2461,23.5201
636.0,423.2092,173.5157,23.6587
639.0,419.428,174.774,23.8699
642.0,409.7636,176.0033,23.6915
645.0,407.3061,177.2252,23.6355
648.0,409.2041,178.4528,23.9574
651.0,420.2962,179.7137,24.676
654.0,423.9209,180.9855,25.3921
657.0,420.4409,182.2468,25.5575
660.0,414.9116,183.4915,25.2953
663.0,415.7525,184.7388,25.0101
666.0,418.9946,185.9958,24.8581
669.0,414.749,187.24,24.4688
672.0,412.8075,188.4785,23.9032
675.0,408.9472,189.7053,23.3829
678.0,405.6541,190.9223,22.9034
681.0,411.6136,192.1571,22.8058
684.0,421.3375,193.4211,23.1869
687.0,422.7163,194.6893,23.555
690.0,415.528,195.9358,23.5463
